"index","DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA NAME","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","Weapon Desc","Status Desc","LOCATION"
"18","221912723","2022-08-02T00:00:00.000","2020-11-01T00:00:00.000","1100","Mission","DOCUMENT FORGERY / STOLEN FELONY","56","F","H","null","Invest Cont","8900    BURNET                       AV"
"19","220120619","2022-09-16T00:00:00.000","2020-09-15T00:00:00.000","1541","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","26","M","H","null","Invest Cont","900 S  MAIN                         ST"
"20","221216517","2022-07-14T00:00:00.000","2020-01-01T00:00:00.000","1200","77th Street","HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE","22","F","B","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Invest Cont","FIGUEROA"
"21","221110658","2022-06-21T00:00:00.000","2020-02-28T00:00:00.000","1625","Northeast","THEFT OF IDENTITY","39","M","C","null","Invest Cont","3600    TRACY                        ST"
"22","221511470","2022-06-22T00:00:00.000","2020-07-11T00:00:00.000","1200","N Hollywood","THEFT OF IDENTITY","63","M","W","null","Invest Cont","12600    OTSEGO                       ST"
"23","220911866","2022-07-26T00:00:00.000","2020-02-01T00:00:00.000","0505","Van Nuys","THEFT OF IDENTITY","34","F","W","null","Invest Cont","15200    LA MAIDA                     ST"
"24","220321807","2022-12-13T00:00:00.000","2020-05-17T00:00:00.000","1620","Southwest","THEFT OF IDENTITY","50","M","B","null","Invest Cont","1400 W  25TH                         ST"
"25","220411016","2022-07-18T00:00:00.000","2020-06-22T00:00:00.000","1300","Hollenbeck","BURGLARY","68","M","H","null","Invest Cont","4800    VALLEY                       BL"
"26","222017787","2022-11-30T00:00:00.000","2020-01-01T00:00:00.000","1200","Olympic","ORAL COPULATION","12","F","H","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Invest Cont","1100    ARAPAHOE                     ST"
"27","221718084","2022-12-20T00:00:00.000","2020-12-02T00:00:00.000","1510","Devonshire","THEFT PLAIN - PETTY ($950 & UNDER)","15","F","H","null","Invest Cont","9300    TAMPA                        AV"
"28","220116036","2022-06-17T00:00:00.000","2020-03-23T00:00:00.000","1200","Central","THEFT OF IDENTITY","48","M","B","null","Invest Cont","100 E  3RD                          ST"
"29","221713038","2022-08-31T00:00:00.000","2020-03-10T00:00:00.000","1800","Devonshire","BUNCO, GRAND THEFT","32","M","O","null","Invest Cont","18400    PLUMMER                      ST"
"30","221314362","2022-07-11T00:00:00.000","2020-04-07T00:00:00.000","0001","Newton","THEFT OF IDENTITY","53","F","H","null","Invest Cont","1600 E  OLYMPIC                      BL"
"31","231006256","2023-02-27T00:00:00.000","2020-06-02T00:00:00.000","1916","West Valley","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","50","M","O","null","Adult Other","16200    VENTURA                      BL"
"32","221011819","2022-07-20T00:00:00.000","2020-07-19T00:00:00.000","1800","West Valley","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","80","F","K","null","Invest Cont","18400    INGOMAR                      ST"
"33","231307252","2023-03-03T00:00:00.000","2020-07-05T00:00:00.000","2305","Newton","THEFT OF IDENTITY","22","F","B","null","Invest Cont","6600 S  BROADWAY"
"34","221110416","2022-06-14T00:00:00.000","2020-10-24T00:00:00.000","0955","Northeast","THEFT OF IDENTITY","37","M","O","null","Invest Cont","3900    GLENFELIZ                    BL"
"35","220313293","2022-07-06T00:00:00.000","2020-06-30T00:00:00.000","1400","Southwest","INTIMATE PARTNER - SIMPLE ASSAULT","25","F","B","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Invest Cont","VERMONT                      AV"
"36","221614254","2022-11-13T00:00:00.000","2020-01-01T00:00:00.000","0001","Foothill","THEFT OF IDENTITY","22","F","H","null","Invest Cont","10200    TELFAIR                      AV"
"37","230706782","2023-03-01T00:00:00.000","2020-07-12T00:00:00.000","1925","Wilshire","THEFT OF IDENTITY","47","F","W","null","Invest Cont","100 S  POINSETTIA                   PL"
"38","220214942","2022-08-11T00:00:00.000","2020-01-01T00:00:00.000","1030","Rampart","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","43","M","V","null","Invest Cont","1500 W  OLYMPIC                      BL"
"39","220710510","2022-06-16T00:00:00.000","2020-07-01T00:00:00.000","0001","Wilshire","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)","19","X","X","null","Invest Cont","6100    WILSHIRE                     BL"
"40","220114107","2022-06-13T00:00:00.000","2020-02-25T00:00:00.000","0001","Central","THEFT OF IDENTITY","23","M","B","null","Invest Cont","600 S  MAIN                         ST"
"41","220910623","2022-06-21T00:00:00.000","2020-11-19T00:00:00.000","0001","Van Nuys","THEFT OF IDENTITY","53","F","W","null","Invest Cont","6300    MORSE                        AV"
"42","221510639","2022-06-05T00:00:00.000","2020-01-24T00:00:00.000","1415","N Hollywood","THEFT OF IDENTITY","58","M","H","null","Invest Cont","5500    STROHM                       AV"
"43","220113458","2022-06-02T00:00:00.000","2020-05-29T00:00:00.000","0611","Central","THEFT OF IDENTITY","38","M","B","null","Invest Cont","500 E  6TH                          ST"
"44","221213066","2022-06-03T00:00:00.000","2020-12-01T00:00:00.000","1400","77th Street","TRESPASSING","34","F","B","PHYSICAL PRESENCE","Invest Cont","1100 W  49TH                         ST"
"45","220113408","2022-06-01T00:00:00.000","2020-09-02T00:00:00.000","1200","Central","THEFT OF IDENTITY","30","F","B","null","Invest Cont","600 S  SANTA FE                     AV"
"46","221910282","2022-06-02T00:00:00.000","2020-06-01T00:00:00.000","1200","Mission","THEFT OF IDENTITY","23","F","W","null","Invest Cont","15300    RAYEN                        ST"
"47","222110021","2022-06-02T00:00:00.000","2020-01-01T00:00:00.000","0001","Topanga","THEFT OF IDENTITY","25","F","B","null","Invest Cont","23100    AVENUE SAN LUIS"
"48","220211247","2022-06-02T00:00:00.000","2020-07-15T00:00:00.000","1230","Rampart","THEFT OF IDENTITY","38","F","B","null","Invest Cont","1200 W  8TH                          ST"
"49","220710105","2022-06-06T00:00:00.000","2020-07-01T00:00:00.000","0745","Wilshire","THEFT OF IDENTITY","70","M","W","null","Invest Cont","1100 S  RIDGELEY                     DR"
"50","220911160","2022-07-06T00:00:00.000","2020-03-01T00:00:00.000","1000","Van Nuys","THEFT OF IDENTITY","59","M","O","null","Invest Cont","6400    VAN NUYS                     BL"
"51","221511143","2022-06-15T00:00:00.000","2020-11-19T00:00:00.000","0719","N Hollywood","THEFT OF IDENTITY","54","F","H","null","Invest Cont","5300    CORTEEN                      PL"
"52","221609445","2022-06-13T00:00:00.000","2020-01-01T00:00:00.000","1200","Foothill","THEFT OF IDENTITY","61","M","W","null","Invest Cont","11600    SHELDON                      ST"
"53","220611751","2022-06-14T00:00:00.000","2020-03-01T00:00:00.000","0800","Hollywood","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","46","M","W","null","Invest Cont","2100    PONET                        DR"
"54","221511140","2022-06-14T00:00:00.000","2020-01-01T00:00:00.000","1235","N Hollywood","THEFT OF IDENTITY","87","M","W","null","Invest Cont","11300    OTSEGO                       ST"
"55","222110428","2022-06-11T00:00:00.000","2020-06-11T00:00:00.000","1700","Topanga","INTIMATE PARTNER - SIMPLE ASSAULT","35","F","H","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Adult Arrest","SHERMAN                      WY"
"56","221812809","2022-06-17T00:00:00.000","2020-05-17T00:00:00.000","0001","Southeast","THEFT OF IDENTITY","38","M","B","null","Invest Cont","200 E  LANZIT                       AV"
"57","221213894","2022-06-15T00:00:00.000","2020-11-01T00:00:00.000","1200","77th Street","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)","24","M","H","null","Invest Cont","700 E  79TH                         ST"
"58","221010466","2022-06-14T00:00:00.000","2020-07-07T00:00:00.000","0001","West Valley","THEFT OF IDENTITY","55","M","H","null","Invest Cont","18500    ERWIN                        ST"
"59","221911806","2022-07-10T00:00:00.000","2020-03-25T00:00:00.000","0001","Mission","THEFT OF IDENTITY","31","M","H","null","Invest Cont","13800    RAYEN                        ST"
"60","221413552","2022-06-24T00:00:00.000","2020-03-18T00:00:00.000","2330","Pacific","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","27","F","C","null","Invest Cont","S  SEPULVEDA                    BL"
"61","222111399","2022-07-07T00:00:00.000","2020-08-21T00:00:00.000","0001","Topanga","VIOLATION OF RESTRAINING ORDER","26","F","H","null","Adult Arrest","20200    HARTLAND                     ST"
"62","220911156","2022-07-06T00:00:00.000","2020-01-01T00:00:00.000","0001","Van Nuys","BURGLARY","64","F","W","null","Invest Cont","15300    HATTERAS                     ST"
"63","221215139","2022-06-27T00:00:00.000","2020-09-25T00:00:00.000","0945","77th Street","THEFT OF IDENTITY","22","F","O","null","Invest Cont","7800 S  NORMANDIE                    AV"
"64","222012073","2022-07-05T00:00:00.000","2020-06-10T00:00:00.000","0010","Olympic","BUNCO, GRAND THEFT","45","M","A","null","Invest Cont","1800 S  WESTERN                      AV"
"65","222111393","2022-07-06T00:00:00.000","2020-01-01T00:00:00.000","0001","Topanga","THEFT OF IDENTITY","43","M","B","null","Invest Cont","24600    STAGG                        ST"
"66","222012456","2022-07-19T00:00:00.000","2020-01-01T00:00:00.000","1230","Olympic","THEFT OF IDENTITY","11","M","H","null","Invest Cont","1300    MAGNOLIA                     AV"
"67","221011732","2022-07-18T00:00:00.000","2020-07-01T00:00:00.000","1200","West Valley","THEFT OF IDENTITY","83","F","O","null","Invest Cont","6500    RESEDA                       BL"
"68","220911563","2022-07-14T00:00:00.000","2020-09-03T00:00:00.000","0001","Van Nuys","THEFT OF IDENTITY","33","F","B","null","Invest Cont","14300    SYLVAN                       ST"
"69","221216200","2022-07-11T00:00:00.000","2020-09-01T00:00:00.000","1235","77th Street","THEFT OF IDENTITY","65","F","B","null","Invest Cont","7300 S  DENKER                       AV"
"70","220613587","2022-07-23T00:00:00.000","2020-10-24T00:00:00.000","0001","Hollywood","THEFT OF IDENTITY","27","M","O","null","Invest Cont","6200 W  SUNSET                       BL"
"71","221912349","2022-07-11T00:00:00.000","2020-10-14T00:00:00.000","1010","Mission","THEFT OF IDENTITY","55","F","F","null","Invest Cont","14600    TUNDRA                       DR"
"72","221912361","2022-07-24T00:00:00.000","2020-02-24T00:00:00.000","1200","Mission","THEFT OF IDENTITY","42","M","B","null","Invest Cont","8500    COLUMBUS                     AV"
"73","221011912","2022-07-22T00:00:00.000","2020-11-01T00:00:00.000","0001","West Valley","THEFT OF IDENTITY","76","M","O","null","Invest Cont","6500    RESEDA                       BL"
"74","221512570","2022-07-18T00:00:00.000","2020-10-27T00:00:00.000","1615","N Hollywood","THEFT OF IDENTITY","52","M","W","null","Invest Cont","5100    BAKMAN                       AV"
"75","221512634","2022-07-22T00:00:00.000","2020-11-01T00:00:00.000","1200","N Hollywood","THEFT OF IDENTITY","47","F","B","null","Invest Cont","11200    PEACH GROVE                  ST"
"76","221216017","2022-07-05T00:00:00.000","2020-03-02T00:00:00.000","0001","77th Street","THEFT OF IDENTITY","42","M","H","null","Invest Cont","1500 W  52ND                         ST"
"77","221216190","2022-07-12T00:00:00.000","2020-08-13T00:00:00.000","0100","77th Street","THEFT OF IDENTITY","51","F","B","null","Invest Cont","4600 S  WESTERN                      AV"
"78","221011873","2022-07-21T00:00:00.000","2020-11-01T00:00:00.000","1200","West Valley","THEFT OF IDENTITY","76","M","O","null","Invest Cont","6500    RESEDA                       BL"
"79","220314618","2022-08-03T00:00:00.000","2020-03-10T00:00:00.000","0001","Southwest","THEFT OF IDENTITY","71","F","B","null","Invest Cont","4100    GARTHWAITE                   AV"
"80","220813413","2022-08-17T00:00:00.000","2020-03-17T00:00:00.000","1555","West LA","THEFT OF IDENTITY","56","M","A","null","Invest Cont","1500 S  BUNDY                        DR"
"81","221218085","2022-08-08T00:00:00.000","2020-01-01T00:00:00.000","1200","77th Street","THEFT OF IDENTITY","42","M","O","null","Invest Cont","10500 S  MANHATTAN                    PL"
"82","222112528","2022-08-02T00:00:00.000","2020-11-11T00:00:00.000","1455","Topanga","THEFT OF IDENTITY","23","M","O","null","Invest Cont","5300    DE ROJA                      AV"
"83","221611162","2022-08-06T00:00:00.000","2020-07-26T00:00:00.000","0001","Foothill","THEFT OF IDENTITY","36","M","H","null","Invest Cont","11100    LULL                         ST"
"84","220512024","2022-08-01T00:00:00.000","2020-08-11T00:00:00.000","1200","Harbor","THEFT OF IDENTITY","35","M","B","null","Invest Cont","1600 W  PACIFIC COAST                HY"
"85","221217989","2022-08-19T00:00:00.000","2020-04-27T00:00:00.000","1200","77th Street","BUNCO, GRAND THEFT","54","M","B","null","Invest Cont","1000 W  67TH                         ST"
"86","221217696","2022-08-13T00:00:00.000","2020-12-01T00:00:00.000","1605","77th Street","THEFT OF IDENTITY","56","M","H","null","Invest Cont","100 E  73RD                         ST"
"87","220315466","2022-08-21T00:00:00.000","2020-08-20T00:00:00.000","1330","Southwest","BURGLARY FROM VEHICLE","29","F","H","null","Invest Cont","3800    SANTA ROSALIA                DR"
"88","220412117","2022-08-15T00:00:00.000","2020-06-03T00:00:00.000","0005","Hollenbeck","THEFT OF IDENTITY","34","F","K","null","Invest Cont","4700    TEMPLETON                    ST"
"89","222013904","2022-07-13T00:00:00.000","2020-07-05T00:00:00.000","1640","Olympic","THEFT OF IDENTITY","70","M","W","null","Invest Cont","900 S  SERRANO                      AV"
"90","220813395","2022-08-17T00:00:00.000","2020-11-22T00:00:00.000","1300","West LA","DOCUMENT FORGERY / STOLEN FELONY","63","F","W","null","Invest Cont","1200    BROCKTON                     AV"
"91","220813389","2022-08-17T00:00:00.000","2020-07-24T00:00:00.000","0730","West LA","THEFT OF IDENTITY","59","F","W","null","Invest Cont","2200    GREENFIELD                   AV"
"92","220315349","2022-08-17T00:00:00.000","2020-10-18T00:00:00.000","2033","Southwest","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","19","X","X","null","Invest Cont","4000 S  WESTERN                      AV"
"93","221513571","2022-08-15T00:00:00.000","2020-08-25T00:00:00.000","1200","N Hollywood","THREATENING PHONE CALLS/LETTERS","23","M","W","VERBAL THREAT","Invest Cont","11400    SUNSHINE                     TR"
"94","221611597","2022-08-19T00:00:00.000","2020-01-01T00:00:00.000","0001","Foothill","THEFT OF IDENTITY","22","F","H","null","Invest Cont","10200    TELFAIR                      AV"
"95","220912439","2022-08-10T00:00:00.000","2020-12-27T00:00:00.000","0900","Van Nuys","INTIMATE PARTNER - AGGRAVATED ASSAULT","48","M","W","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Adult Other","14800    OTSEGO                       ST"
"96","221513720","2022-08-17T00:00:00.000","2020-11-08T00:00:00.000","1010","N Hollywood","THEFT OF IDENTITY","27","M","W","null","Invest Cont","11700    VANOWEN                      ST"
"97","220713064","2022-08-19T00:00:00.000","2020-02-28T00:00:00.000","1020","Wilshire","THEFT OF IDENTITY","31","F","B","null","Invest Cont","5100 W  20TH                         ST"
"98","221218637","2022-07-12T00:00:00.000","2020-08-01T00:00:00.000","1200","77th Street","BURGLARY","38","M","W","null","Invest Cont","5000    DENKER                       AV"
"99","221611890","2022-08-30T00:00:00.000","2020-02-09T00:00:00.000","0001","Foothill","THEFT OF IDENTITY","23","F","H","null","Invest Cont","12300    OSBORNE                      ST"
"100","220316030","2022-08-30T00:00:00.000","2020-08-30T00:00:00.000","1625","Southwest","THEFT OF IDENTITY","41","F","W","null","Invest Cont","1000 W  23RD                         ST"
"101","221316784","2022-08-29T00:00:00.000","2020-09-10T00:00:00.000","1200","Newton","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","73","M","W","null","Invest Cont","1300    NEWTON                       ST"
"102","221612433","2022-09-15T00:00:00.000","2020-12-03T00:00:00.000","0800","Foothill","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","74","M","W","null","Invest Cont","11800    PEORIA                       ST"
"103","231505589","2023-02-08T00:00:00.000","2020-09-01T00:00:00.000","1200","N Hollywood","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","10","F","W","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Invest Cont","10800    HORTENSE                     ST"
"104","220615948","2022-09-13T00:00:00.000","2020-01-01T00:00:00.000","1200","Hollywood","VIOLATION OF COURT ORDER","31","F","H","null","Invest Cont","7000    LANEWOOD                     AV"
"105","221013988","2022-09-13T00:00:00.000","2020-02-13T00:00:00.000","1625","West Valley","THEFT OF IDENTITY","68","F","O","null","Invest Cont","5400    YARMOUTH                     AV"
"106","221219627","2022-09-14T00:00:00.000","2020-09-13T00:00:00.000","1000","77th Street","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","44","F","H","null","Invest Cont","800 W  74TH                         ST"
"107","221612373","2022-09-14T00:00:00.000","2020-01-01T00:00:00.000","1840","Foothill","THEFT OF IDENTITY","41","M","H","null","Invest Cont","9800    AMBOY                        AV"
"108","221713457","2022-09-02T00:00:00.000","2020-02-02T00:00:00.000","1010","Devonshire","THEFT OF IDENTITY","38","M","B","null","Invest Cont","20200    PIENZA                       LN"
"109","221014110","2022-09-15T00:00:00.000","2020-01-04T00:00:00.000","2125","West Valley","THEFT OF IDENTITY","50","M","W","null","Invest Cont","19200    SHERMAN                      WY"
"110","222114709","2022-09-26T00:00:00.000","2020-06-19T00:00:00.000","0600","Topanga","THEFT OF IDENTITY","42","F","B","null","Invest Cont","7900    SAUSALITO                    AV"
"111","221417043","2022-09-28T00:00:00.000","2020-12-01T00:00:00.000","0001","Pacific","BUNCO, GRAND THEFT","77","M","O","null","Invest Cont","3000    WESTWOOD                     BL"
"112","220814938","2022-09-25T00:00:00.000","2020-08-22T00:00:00.000","1800","West LA","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","42","M","W","null","Invest Cont","2000    ROSCOMARE                    RD"
"113","221612872","2022-09-30T00:00:00.000","2020-09-29T00:00:00.000","1130","Foothill","BATTERY - SIMPLE ASSAULT","28","M","H","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Invest Cont","11000    NORRIS                       AV"
"114","221818077","2022-09-28T00:00:00.000","2020-01-01T00:00:00.000","0001","Southeast","ORAL COPULATION","6","F","B","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Invest Cont","500 W  92ND                         ST"
"115","220616628","2022-09-19T00:00:00.000","2020-10-26T00:00:00.000","1000","Hollywood","DOCUMENT FORGERY / STOLEN FELONY","71","F","H","null","Invest Cont","1100    GORDON                       ST"
"116","221714096","2022-09-27T00:00:00.000","2020-01-09T00:00:00.000","1200","Devonshire","CREDIT CARDS, FRAUD USE ($950 & UNDER","84","F","H","null","Invest Cont","19300    ROMAR                        ST"
"117","221010617","2022-06-16T00:00:00.000","2020-01-01T00:00:00.000","1200","West Valley","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","36","M","W","null","Invest Cont","19200    LIAM                         LN"
"118","221417121","2022-09-29T00:00:00.000","2020-02-05T00:00:00.000","1200","Pacific","THEFT OF IDENTITY","51","F","W","null","Invest Cont","11500    CULVER                       BL"
"119","221515500","2022-09-29T00:00:00.000","2020-09-01T00:00:00.000","0905","N Hollywood","THEFT OF IDENTITY","86","F","W","null","Invest Cont","11300    OTSEGO                       ST"
"120","221819021","2022-10-05T00:00:00.000","2020-07-31T00:00:00.000","1200","Southeast","THEFT OF IDENTITY","28","F","B","null","Invest Cont","2100 E  105TH                        ST"
"121","220217693","2022-09-29T00:00:00.000","2020-01-01T00:00:00.000","0800","Rampart","THEFT OF IDENTITY","47","M","W","null","Invest Cont","800 S  CARONDELET                   ST"
"122","221915597","2022-10-11T00:00:00.000","2020-06-01T00:00:00.000","0005","Mission","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","9","F","H","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Invest Cont","13100    BORDEN                       AV"
"123","220715286","2022-10-13T00:00:00.000","2020-06-01T00:00:00.000","2359","Wilshire","DISTURBING THE PEACE","59","F","W","null","Invest Cont","100 S  FLORES                       ST"
"124","222115311","2022-10-12T00:00:00.000","2020-11-19T00:00:00.000","1200","Topanga","THEFT OF IDENTITY","51","F","H","null","Invest Cont","8400    DE SOTO                      AV"
"125","220318344","2022-10-12T00:00:00.000","2020-01-01T00:00:00.000","1200","Southwest","THEFT OF IDENTITY","55","M","H","null","Invest Cont","1800 W  24TH                         ST"
"126","220917253","2022-12-13T00:00:00.000","2020-12-21T00:00:00.000","1800","Van Nuys","INTIMATE PARTNER - SIMPLE ASSAULT","20","F","H","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Adult Other","VANOWEN"
"127","221115187","2022-10-17T00:00:00.000","2020-07-01T00:00:00.000","0001","Northeast","THEFT OF IDENTITY","54","M","W","null","Invest Cont","2500    LANGDALE                     AV"
"128","221221473","2022-10-12T00:00:00.000","2020-01-17T00:00:00.000","0001","77th Street","THEFT OF IDENTITY","49","F","B","null","Invest Cont","2600 W  67TH                         ST"
"129","221221507","2022-10-06T00:00:00.000","2020-07-10T00:00:00.000","1110","77th Street","THEFT OF IDENTITY","40","F","B","null","Invest Cont","7400    HAAS"
"130","221715311","2022-10-16T00:00:00.000","2020-07-11T00:00:00.000","0200","Devonshire","BATTERY - SIMPLE ASSAULT","30","M","O","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Invest Cont","11700    THUNDERBIRD                  AV"
"131","221916382","2022-11-02T00:00:00.000","2020-11-11T00:00:00.000","1200","Mission","THEFT OF IDENTITY","31","F","B","null","Invest Cont","15100    TAMARACK                     CT"
"132","221516921","2022-11-02T00:00:00.000","2020-02-01T00:00:00.000","1200","N Hollywood","THEFT OF IDENTITY","41","M","W","null","Invest Cont","4400    CARTWRIGHT                   AV"
"133","221916426","2022-11-02T00:00:00.000","2020-01-09T00:00:00.000","1000","Mission","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","37","M","H","null","Invest Cont","14600    PARTHENIA                    ST"
"134","221115990","2022-11-07T00:00:00.000","2020-10-06T00:00:00.000","0001","Northeast","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","7","M","H","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Invest Cont","300 N  AVENUE 52"
"135","221514248","2022-08-30T00:00:00.000","2020-08-04T00:00:00.000","1430","N Hollywood","CONTEMPT OF COURT","30","F","W","VERBAL THREAT","Adult Arrest","11900    RIVERSIDE                    DR"
"136","220319411","2022-10-31T00:00:00.000","2020-10-30T00:00:00.000","2000","Southwest","PICKPOCKET","34","F","H","null","Invest Cont","700    EXPOSITION                   BL"
"137","221917823","2022-12-12T00:00:00.000","2020-04-05T00:00:00.000","1550","Mission","THEFT OF IDENTITY","23","M","B","null","Invest Cont","15400    EL CAJON                     ST"
"138","221418374","2022-10-30T00:00:00.000","2020-10-30T00:00:00.000","2025","Pacific","BATTERY - SIMPLE ASSAULT","22","M","H","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Invest Cont","5000 S  SLAUSON                      AV"
"139","221614062","2022-11-07T00:00:00.000","2020-02-26T00:00:00.000","1200","Foothill","THEFT OF IDENTITY","48","F","H","null","Invest Cont","8600    HERRICK                      AV"
"140","221916494","2022-11-02T00:00:00.000","2020-11-02T00:00:00.000","1225","Mission","EXTORTION","21","M","H","null","Invest Cont","14500    LANARK                       ST"
"141","231905726","2023-02-08T00:00:00.000","2020-01-01T00:00:00.000","0001","Mission","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","5","F","H","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","Invest Cont","14700    BLYTHE                       ST"
"142","221516997","2022-11-04T00:00:00.000","2020-08-04T00:00:00.000","1200","N Hollywood","THEFT OF IDENTITY","62","F","W","null","Invest Cont","12800    VICTORY                      BL"
"143","220219783","2022-11-05T00:00:00.000","2020-03-05T00:00:00.000","0930","Rampart","THEFT OF IDENTITY","75","F","O","null","Invest Cont","400 S  BURLINGTON                   AV"
